"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 18:16:40 GMT 2021","Wed Aug 18 18:17:01 GMT 2021","21212","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"passed","Wed Aug 18 18:17:03 GMT 2021","Wed Aug 18 18:17:08 GMT 2021","4686","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"passed","Wed Aug 18 18:17:01 GMT 2021","Wed Aug 18 18:17:03 GMT 2021","2513","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
"passed","Wed Aug 18 18:17:29 GMT 2021","Wed Aug 18 18:18:30 GMT 2021","61089","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
"passed","Wed Aug 18 18:16:27 GMT 2021","Wed Aug 18 18:16:40 GMT 2021","12578","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"passed","Wed Aug 18 18:16:01 GMT 2021","Wed Aug 18 18:16:16 GMT 2021","14705","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Wed Aug 18 18:17:13 GMT 2021","Wed Aug 18 18:17:29 GMT 2021","15775","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"passed","Wed Aug 18 18:16:16 GMT 2021","Wed Aug 18 18:16:27 GMT 2021","10990","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"passed","Wed Aug 18 18:17:08 GMT 2021","Wed Aug 18 18:17:13 GMT 2021","5077","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
"passed","Wed Aug 18 18:18:30 GMT 2021","Wed Aug 18 18:18:59 GMT 2021","29286","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
