"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","9","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","isTermsAndConditionsPageEmpty()",""
"broken","Wed Aug 18 12:22:55 GMT 2021","Wed Aug 18 12:23:22 GMT 2021","26958","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","36","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website up and running test",""
"broken","Wed Aug 18 12:23:22 GMT 2021","Wed Aug 18 12:23:42 GMT 2021","20061","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","14","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","getTermsAndConditions()",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","11","","WishlistTest","","WishlistTest","addToWishlistTest","addToWishlistTest()",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","17","","ListScrollTest","","ListScrollTest","listScrollTest","listScrollTest()",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","10","","AccountsTest","","AccountsTest","addressChangeTest","addressChangeTest()",""
"broken","Wed Aug 18 12:24:11 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","8","","WishlistTest","","WishlistTest","removeFromWishlistTest","removeFromWishlistTest()",""
"passed","Wed Aug 18 12:23:42 GMT 2021","Wed Aug 18 12:24:11 GMT 2021","28214","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration and logout test",""
