"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 15:31:22 GMT 2021","Wed Aug 18 15:31:22 GMT 2021","317","","WishlistTest","","WishlistTest","addToWishlistTest","addToWishlistTest()",""
"broken","Wed Aug 18 15:31:13 GMT 2021","Wed Aug 18 15:32:32 GMT 2021","78867","","AccountsTest","","AccountsTest","addressChangeTest","addressChangeTest()",""
"passed","Wed Aug 18 15:32:32 GMT 2021","Wed Aug 18 15:33:18 GMT 2021","45235","","ListScrollTest","","ListScrollTest","listScrollTest","listScrollTest()",""
"broken","Wed Aug 18 15:32:24 GMT 2021","Wed Aug 18 15:32:55 GMT 2021","31166","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"broken","Wed Aug 18 15:32:56 GMT 2021","Wed Aug 18 15:33:04 GMT 2021","8205","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","isTermsAndConditionsPageEmpty()",""
"broken","Wed Aug 18 15:31:21 GMT 2021","Wed Aug 18 15:31:21 GMT 2021","352","","WishlistTest","","WishlistTest","removeFromWishlistTest","removeFromWishlistTest()",""
"passed","Wed Aug 18 15:31:53 GMT 2021","Wed Aug 18 15:32:24 GMT 2021","30796","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"broken","Wed Aug 18 15:31:11 GMT 2021","Wed Aug 18 15:31:53 GMT 2021","42356","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"broken","Wed Aug 18 15:32:55 GMT 2021","Wed Aug 18 15:32:56 GMT 2021","295","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","getTermsAndConditions()",""
"passed","Wed Aug 18 15:31:11 GMT 2021","Wed Aug 18 15:31:20 GMT 2021","9501","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website up and running test",""
