"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 15:40:15 GMT 2021","Wed Aug 18 15:40:36 GMT 2021","20656","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"passed","Wed Aug 18 15:40:45 GMT 2021","Wed Aug 18 15:41:02 GMT 2021","16977","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"broken","Wed Aug 18 15:43:20 GMT 2021","Wed Aug 18 15:43:41 GMT 2021","20501","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
"passed","Wed Aug 18 15:40:36 GMT 2021","Wed Aug 18 15:40:45 GMT 2021","9256","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
"broken","Wed Aug 18 15:38:50 GMT 2021","Wed Aug 18 15:39:20 GMT 2021","29907","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Wed Aug 18 15:41:19 GMT 2021","Wed Aug 18 15:42:05 GMT 2021","45725","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"broken","Wed Aug 18 15:42:05 GMT 2021","Wed Aug 18 15:43:20 GMT 2021","75216","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
"broken","Wed Aug 18 15:39:20 GMT 2021","Wed Aug 18 15:39:55 GMT 2021","34483","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"broken","Wed Aug 18 15:39:55 GMT 2021","Wed Aug 18 15:40:15 GMT 2021","20523","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"passed","Wed Aug 18 15:41:02 GMT 2021","Wed Aug 18 15:41:19 GMT 2021","16796","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
