"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 15:17:47 GMT 2021","Sun Aug 22 15:17:49 GMT 2021","1569","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
"passed","Sun Aug 22 15:17:26 GMT 2021","Sun Aug 22 15:17:31 GMT 2021","5498","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"passed","Sun Aug 22 15:17:38 GMT 2021","Sun Aug 22 15:17:47 GMT 2021","9191","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"passed","Sun Aug 22 15:17:18 GMT 2021","Sun Aug 22 15:17:26 GMT 2021","7179","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Sun Aug 22 15:17:53 GMT 2021","Sun Aug 22 15:18:00 GMT 2021","7069","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"passed","Sun Aug 22 15:17:49 GMT 2021","Sun Aug 22 15:17:51 GMT 2021","1888","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"passed","Sun Aug 22 15:18:31 GMT 2021","Sun Aug 22 15:18:38 GMT 2021","6734","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
"passed","Sun Aug 22 15:17:31 GMT 2021","Sun Aug 22 15:17:38 GMT 2021","6927","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful login test",""
"passed","Sun Aug 22 15:17:51 GMT 2021","Sun Aug 22 15:17:53 GMT 2021","2293","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
"passed","Sun Aug 22 15:18:00 GMT 2021","Sun Aug 22 15:18:31 GMT 2021","30935","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
