"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 14:59:24 GMT 2021","Wed Aug 18 14:59:33 GMT 2021","9468","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
"broken","Wed Aug 18 15:00:09 GMT 2021","Wed Aug 18 15:00:40 GMT 2021","30279","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"passed","Wed Aug 18 14:59:51 GMT 2021","Wed Aug 18 15:00:09 GMT 2021","18717","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
"broken","Wed Aug 18 14:58:01 GMT 2021","Wed Aug 18 14:58:22 GMT 2021","21403","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Wed Aug 18 14:59:33 GMT 2021","Wed Aug 18 14:59:51 GMT 2021","17312","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"broken","Wed Aug 18 14:58:43 GMT 2021","Wed Aug 18 14:59:03 GMT 2021","20559","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"broken","Wed Aug 18 15:00:40 GMT 2021","Wed Aug 18 15:01:00 GMT 2021","20517","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
"broken","Wed Aug 18 14:59:03 GMT 2021","Wed Aug 18 14:59:24 GMT 2021","20606","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"passed","Wed Aug 18 15:01:00 GMT 2021","Wed Aug 18 15:01:52 GMT 2021","51269","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
"broken","Wed Aug 18 14:58:22 GMT 2021","Wed Aug 18 14:58:43 GMT 2021","20590","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
